"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"01.01.2024 00:00 - 01.01.2024 00:15","7982","7335"
"01.01.2024 00:15 - 01.01.2024 00:30","7919","7265"
"01.01.2024 00:30 - 01.01.2024 00:45","7846","7248"
"01.01.2024 00:45 - 01.01.2024 01:00","7752","7202"
"01.01.2024 01:00 - 01.01.2024 01:15","7667","7143"
"01.01.2024 01:15 - 01.01.2024 01:30","7572","7066"
"01.01.2024 01:30 - 01.01.2024 01:45","7524","7001"
"01.01.2024 01:45 - 01.01.2024 02:00","7448","6922"
"01.01.2024 02:00 - 01.01.2024 02:15","7371","6878"
"01.01.2024 02:15 - 01.01.2024 02:30","7282","6835"
"01.01.2024 02:30 - 01.01.2024 02:45","7257","6785"
"01.01.2024 02:45 - 01.01.2024 03:00","7214","6755"
"01.01.2024 03:00 - 01.01.2024 03:15","7181","6752"
"01.01.2024 03:15 - 01.01.2024 03:30","7132","6699"
"01.01.2024 03:30 - 01.01.2024 03:45","7130","6680"
"01.01.2024 03:45 - 01.01.2024 04:00","7131","6654"
"01.01.2024 04:00 - 01.01.2024 04:15","7131","6703"
"01.01.2024 04:15 - 01.01.2024 04:30","7127","6707"
"01.01.2024 04:30 - 01.01.2024 04:45","7142","6723"
"01.01.2024 04:45 - 01.01.2024 05:00","7157","6724"
"01.01.2024 05:00 - 01.01.2024 05:15","7191","6805"
"01.01.2024 05:15 - 01.01.2024 05:30","7219","6867"
"01.01.2024 05:30 - 01.01.2024 05:45","7272","6912"
"01.01.2024 05:45 - 01.01.2024 06:00","7231","6907"
"01.01.2024 06:00 - 01.01.2024 06:15","7208","6871"
"01.01.2024 06:15 - 01.01.2024 06:30","7192","6892"
"01.01.2024 06:30 - 01.01.2024 06:45","7266","6957"
"01.01.2024 06:45 - 01.01.2024 07:00","7272","6959"
"01.01.2024 07:00 - 01.01.2024 07:15","7283","7064"
"01.01.2024 07:15 - 01.01.2024 07:30","7292","7146"
"01.01.2024 07:30 - 01.01.2024 07:45","7355","7139"
"01.01.2024 07:45 - 01.01.2024 08:00","7370","7130"
"01.01.2024 08:00 - 01.01.2024 08:15","7395","7206"
"01.01.2024 08:15 - 01.01.2024 08:30","7434","7280"
"01.01.2024 08:30 - 01.01.2024 08:45","7506","7376"
"01.01.2024 08:45 - 01.01.2024 09:00","7590","7445"
"01.01.2024 09:00 - 01.01.2024 09:15","7659","7564"
"01.01.2024 09:15 - 01.01.2024 09:30","7734","7648"
"01.01.2024 09:30 - 01.01.2024 09:45","7778","7724"
"01.01.2024 09:45 - 01.01.2024 10:00","7792","7827"
"01.01.2024 10:00 - 01.01.2024 10:15","7802","7917"
"01.01.2024 10:15 - 01.01.2024 10:30","7816","8009"
"01.01.2024 10:30 - 01.01.2024 10:45","7858","8073"
"01.01.2024 10:45 - 01.01.2024 11:00","7913","8115"
"01.01.2024 11:00 - 01.01.2024 11:15","7947","8168"
"01.01.2024 11:15 - 01.01.2024 11:30","7958","8160"
"01.01.2024 11:30 - 01.01.2024 11:45","7918","8239"
"01.01.2024 11:45 - 01.01.2024 12:00","7928","8251"
"01.01.2024 12:00 - 01.01.2024 12:15","7944","8248"
"01.01.2024 12:15 - 01.01.2024 12:30","7969","8221"
"01.01.2024 12:30 - 01.01.2024 12:45","7930","8198"
"01.01.2024 12:45 - 01.01.2024 13:00","7904","8132"
