"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|HR","Actual Total Load [MW] - BZN|HR"
"01.01.2024 00:00 - 01.01.2024 00:15","1651","1591"
"01.01.2024 00:15 - 01.01.2024 00:30","1651","1573"
"01.01.2024 00:30 - 01.01.2024 00:45","1651","1555"
"01.01.2024 00:45 - 01.01.2024 01:00","1651","1524"
"01.01.2024 01:00 - 01.01.2024 01:15","1564","1502"
"01.01.2024 01:15 - 01.01.2024 01:30","1564","1485"
"01.01.2024 01:30 - 01.01.2024 01:45","1564","1462"
"01.01.2024 01:45 - 01.01.2024 02:00","1564","1443"
"01.01.2024 02:00 - 01.01.2024 02:15","1485","1429"
"01.01.2024 02:15 - 01.01.2024 02:30","1485","1413"
"01.01.2024 02:30 - 01.01.2024 02:45","1485","1400"
"01.01.2024 02:45 - 01.01.2024 03:00","1485","1385"
"01.01.2024 03:00 - 01.01.2024 03:15","1445","1378"
"01.01.2024 03:15 - 01.01.2024 03:30","1445","1372"
"01.01.2024 03:30 - 01.01.2024 03:45","1445","1366"
"01.01.2024 03:45 - 01.01.2024 04:00","1445","1364"
"01.01.2024 04:00 - 01.01.2024 04:15","1461","1370"
"01.01.2024 04:15 - 01.01.2024 04:30","1461","1374"
"01.01.2024 04:30 - 01.01.2024 04:45","1461","1381"
"01.01.2024 04:45 - 01.01.2024 05:00","1461","1381"
"01.01.2024 05:00 - 01.01.2024 05:15","1551","1404"
"01.01.2024 05:15 - 01.01.2024 05:30","1551","1417"
"01.01.2024 05:30 - 01.01.2024 05:45","1551","1438"
"01.01.2024 05:45 - 01.01.2024 06:00","1551","1445"
"01.01.2024 06:00 - 01.01.2024 06:15","1595","1462"
"01.01.2024 06:15 - 01.01.2024 06:30","1595","1457"
"01.01.2024 06:30 - 01.01.2024 06:45","1595","1453"
"01.01.2024 06:45 - 01.01.2024 07:00","1595","1456"
"01.01.2024 07:00 - 01.01.2024 07:15","1596","1482"
"01.01.2024 07:15 - 01.01.2024 07:30","1596","1513"
"01.01.2024 07:30 - 01.01.2024 07:45","1596","1542"
"01.01.2024 07:45 - 01.01.2024 08:00","1596","1563"
"01.01.2024 08:00 - 01.01.2024 08:15","1753","1596"
"01.01.2024 08:15 - 01.01.2024 08:30","1753","1635"
"01.01.2024 08:30 - 01.01.2024 08:45","1753","1679"
"01.01.2024 08:45 - 01.01.2024 09:00","1753","1710"
"01.01.2024 09:00 - 01.01.2024 09:15","1782","1758"
"01.01.2024 09:15 - 01.01.2024 09:30","1782","1795"
"01.01.2024 09:30 - 01.01.2024 09:45","1782","1832"
"01.01.2024 09:45 - 01.01.2024 10:00","1782","1852"
"01.01.2024 10:00 - 01.01.2024 10:15","1836","1887"
"01.01.2024 10:15 - 01.01.2024 10:30","1836","1910"
"01.01.2024 10:30 - 01.01.2024 10:45","1836","1915"
"01.01.2024 10:45 - 01.01.2024 11:00","1836","1921"
"01.01.2024 11:00 - 01.01.2024 11:15","1769","1914"
"01.01.2024 11:15 - 01.01.2024 11:30","1769","1914"
"01.01.2024 11:30 - 01.01.2024 11:45","1769","1897"
"01.01.2024 11:45 - 01.01.2024 12:00","1769","1881"
"01.01.2024 12:00 - 01.01.2024 12:15","1734","1853"
"01.01.2024 12:15 - 01.01.2024 12:30","1734","1829"
"01.01.2024 12:30 - 01.01.2024 12:45","1734","1812"
"01.01.2024 12:45 - 01.01.2024 13:00","1734","1799"
"01.01.2024 13:00 - 01.01.2024 13:15","1727","1784"
"01.01.2024 13:15 - 01.01.2024 13:30","1727","1770"
"01.01.2024 13:30 - 01.01.2024 13:45","1727","1765"
"01.01.2024 13:45 - 01.01.2024 14:00","1727","1753"
"01.01.2024 14:00 - 01.01.2024 14:15","1768","1737"
"01.01.2024 14:15 - 01.01.2024 14:30","1768","1749"
"01.01.2024 14:30 - 01.01.2024 14:45","1768","1752"
"01.01.2024 14:45 - 01.01.2024 15:00","1768","1770"
"01.01.2024 15:00 - 01.01.2024 15:15","1898","1785"
"01.01.2024 15:15 - 01.01.2024 15:30","1898","1827"
"01.01.2024 15:30 - 01.01.2024 15:45","1898","1898"
"01.01.2024 15:45 - 01.01.2024 16:00","1898","1954"
"01.01.2024 16:00 - 01.01.2024 16:15","2056","1964"
"01.01.2024 16:15 - 01.01.2024 16:30","2056","1984"
"01.01.2024 16:30 - 01.01.2024 16:45","2056","1993"
"01.01.2024 16:45 - 01.01.2024 17:00","2056","2008"
"01.01.2024 17:00 - 01.01.2024 17:15","2057","1999"
"01.01.2024 17:15 - 01.01.2024 17:30","2057","2000"
"01.01.2024 17:30 - 01.01.2024 17:45","2057","2012"
"01.01.2024 17:45 - 01.01.2024 18:00","2057","2008"
"01.01.2024 18:00 - 01.01.2024 18:15","2081","2017"
"01.01.2024 18:15 - 01.01.2024 18:30","2081","2023"
"01.01.2024 18:30 - 01.01.2024 18:45","2081","2037"
"01.01.2024 18:45 - 01.01.2024 19:00","2081","2046"
"01.01.2024 19:00 - 01.01.2024 19:15","2088","2049"
"01.01.2024 19:15 - 01.01.2024 19:30","2088","2043"
"01.01.2024 19:30 - 01.01.2024 19:45","2088","2019"
"01.01.2024 19:45 - 01.01.2024 20:00","2088","2007"
"01.01.2024 20:00 - 01.01.2024 20:15","2093","2021"
"01.01.2024 20:15 - 01.01.2024 20:30","2093","2049"
"01.01.2024 20:30 - 01.01.2024 20:45","2093","2044"
"01.01.2024 20:45 - 01.01.2024 21:00","2093","2023"
"01.01.2024 21:00 - 01.01.2024 21:15","1988","1991"
"01.01.2024 21:15 - 01.01.2024 21:30","1988","1948"
"01.01.2024 21:30 - 01.01.2024 21:45","1988","1911"
"01.01.2024 21:45 - 01.01.2024 22:00","1988","1867"
"01.01.2024 22:00 - 01.01.2024 22:15","1807","1815"
"01.01.2024 22:15 - 01.01.2024 22:30","1807","1776"
"01.01.2024 22:30 - 01.01.2024 22:45","1807","1735"
"01.01.2024 22:45 - 01.01.2024 23:00","1807","1704"
"01.01.2024 23:00 - 01.01.2024 23:15","1603","1655"
"01.01.2024 23:15 - 01.01.2024 23:30","1603","1604"
"01.01.2024 23:30 - 01.01.2024 23:45","1603","1565"
"01.01.2024 23:45 - 02.01.2024 00:00","1603","1524"
"02.01.2024 00:00 - 02.01.2024 00:15","1498","1493"
"02.01.2024 00:15 - 02.01.2024 00:30","1498","1455"
"02.01.2024 00:30 - 02.01.2024 00:45","1498","1436"
"02.01.2024 00:45 - 02.01.2024 01:00","1498","1417"
"02.01.2024 01:00 - 02.01.2024 01:15","1388","1403"
"02.01.2024 01:15 - 02.01.2024 01:30","1388","1384"
"02.01.2024 01:30 - 02.01.2024 01:45","1388","1378"
"02.01.2024 01:45 - 02.01.2024 02:00","1388","1361"
"02.01.2024 02:00 - 02.01.2024 02:15","1363","1365"
"02.01.2024 02:15 - 02.01.2024 02:30","1363","1365"
"02.01.2024 02:30 - 02.01.2024 02:45","1363","1362"
"02.01.2024 02:45 - 02.01.2024 03:00","1363","1370"
"02.01.2024 03:00 - 02.01.2024 03:15","1444","1378"
"02.01.2024 03:15 - 02.01.2024 03:30","1444","1386"
"02.01.2024 03:30 - 02.01.2024 03:45","1444","1398"
"02.01.2024 03:45 - 02.01.2024 04:00","1444","1417"
"02.01.2024 04:00 - 02.01.2024 04:15","1481","1452"
"02.01.2024 04:15 - 02.01.2024 04:30","1481","1487"
"02.01.2024 04:30 - 02.01.2024 04:45","1481","1534"
"02.01.2024 04:45 - 02.01.2024 05:00","1481","1596"
"02.01.2024 05:00 - 02.01.2024 05:15","1756","1704"
"02.01.2024 05:15 - 02.01.2024 05:30","1756","1772"
"02.01.2024 05:30 - 02.01.2024 05:45","1756","1835"
"02.01.2024 05:45 - 02.01.2024 06:00","1756","1899"
"02.01.2024 06:00 - 02.01.2024 06:15","1968","1972"
"02.01.2024 06:15 - 02.01.2024 06:30","1968","2012"
"02.01.2024 06:30 - 02.01.2024 06:45","1968","2024"
"02.01.2024 06:45 - 02.01.2024 07:00","1968","2074"
"02.01.2024 07:00 - 02.01.2024 07:15","2126","2139"
"02.01.2024 07:15 - 02.01.2024 07:30","2126","2182"
"02.01.2024 07:30 - 02.01.2024 07:45","2126","2214"
"02.01.2024 07:45 - 02.01.2024 08:00","2126","2228"
"02.01.2024 08:00 - 02.01.2024 08:15","2205","2252"
"02.01.2024 08:15 - 02.01.2024 08:30","2205","2260"
"02.01.2024 08:30 - 02.01.2024 08:45","2205","2265"
"02.01.2024 08:45 - 02.01.2024 09:00","2205","2256"
"02.01.2024 09:00 - 02.01.2024 09:15","2191","2251"
"02.01.2024 09:15 - 02.01.2024 09:30","2191","2258"
"02.01.2024 09:30 - 02.01.2024 09:45","2191","2260"
"02.01.2024 09:45 - 02.01.2024 10:00","2191","2255"
"02.01.2024 10:00 - 02.01.2024 10:15","2221","2258"
"02.01.2024 10:15 - 02.01.2024 10:30","2221","2252"
"02.01.2024 10:30 - 02.01.2024 10:45","2221","2247"
"02.01.2024 10:45 - 02.01.2024 11:00","2221","2258"
"02.01.2024 11:00 - 02.01.2024 11:15","2256","2247"
"02.01.2024 11:15 - 02.01.2024 11:30","2256","2244"
"02.01.2024 11:30 - 02.01.2024 11:45","2256","2242"
"02.01.2024 11:45 - 02.01.2024 12:00","2256","2231"
"02.01.2024 12:00 - 02.01.2024 12:15","2229","2213"
"02.01.2024 12:15 - 02.01.2024 12:30","2229","2193"
"02.01.2024 12:30 - 02.01.2024 12:45","2229","2174"
"02.01.2024 12:45 - 02.01.2024 13:00","2229","2129"
"02.01.2024 13:00 - 02.01.2024 13:15","2192","2120"
"02.01.2024 13:15 - 02.01.2024 13:30","2192","2127"
"02.01.2024 13:30 - 02.01.2024 13:45","2192","2135"
"02.01.2024 13:45 - 02.01.2024 14:00","2192","2129"
"02.01.2024 14:00 - 02.01.2024 14:15","2188","2117"
"02.01.2024 14:15 - 02.01.2024 14:30","2188","2130"
"02.01.2024 14:30 - 02.01.2024 14:45","2188","2146"
"02.01.2024 14:45 - 02.01.2024 15:00","2188","2167"
"02.01.2024 15:00 - 02.01.2024 15:15","2347","2189"
"02.01.2024 15:15 - 02.01.2024 15:30","2347","2231"
"02.01.2024 15:30 - 02.01.2024 15:45","2347","2310"
"02.01.2024 15:45 - 02.01.2024 16:00","2347","2375"
"02.01.2024 16:00 - 02.01.2024 16:15","2461","2402"
"02.01.2024 16:15 - 02.01.2024 16:30","2461","2417"
"02.01.2024 16:30 - 02.01.2024 16:45","2461","2411"
"02.01.2024 16:45 - 02.01.2024 17:00","2461","2408"
"02.01.2024 17:00 - 02.01.2024 17:15","2432","2385"
"02.01.2024 17:15 - 02.01.2024 17:30","2432","2381"
"02.01.2024 17:30 - 02.01.2024 17:45","2432","2377"
"02.01.2024 17:45 - 02.01.2024 18:00","2432","2371"
"02.01.2024 18:00 - 02.01.2024 18:15","2378","2375"
"02.01.2024 18:15 - 02.01.2024 18:30","2378","2381"
"02.01.2024 18:30 - 02.01.2024 18:45","2378","2376"
"02.01.2024 18:45 - 02.01.2024 19:00","2378","2371"
"02.01.2024 19:00 - 02.01.2024 19:15","2311","2358"
"02.01.2024 19:15 - 02.01.2024 19:30","2311","2338"
"02.01.2024 19:30 - 02.01.2024 19:45","2311","2308"
"02.01.2024 19:45 - 02.01.2024 20:00","2311","2282"
"02.01.2024 20:00 - 02.01.2024 20:15","2365","2289"
"02.01.2024 20:15 - 02.01.2024 20:30","2365","2279"
"02.01.2024 20:30 - 02.01.2024 20:45","2365","2254"
"02.01.2024 20:45 - 02.01.2024 21:00","2365","2219"
"02.01.2024 21:00 - 02.01.2024 21:15","2169","2183"
"02.01.2024 21:15 - 02.01.2024 21:30","2169","2151"
"02.01.2024 21:30 - 02.01.2024 21:45","2169","2101"
"02.01.2024 21:45 - 02.01.2024 22:00","2169","2054"
"02.01.2024 22:00 - 02.01.2024 22:15","1964","1997"
"02.01.2024 22:15 - 02.01.2024 22:30","1964","1936"
"02.01.2024 22:30 - 02.01.2024 22:45","1964","1893"
"02.01.2024 22:45 - 02.01.2024 23:00","1964","1841"
"02.01.2024 23:00 - 02.01.2024 23:15","1779","1776"
"02.01.2024 23:15 - 02.01.2024 23:30","1779","1729"
"02.01.2024 23:30 - 02.01.2024 23:45","1779","1673"
"02.01.2024 23:45 - 03.01.2024 00:00","1779","1628"
"03.01.2024 00:00 - 03.01.2024 00:15","1605","1592"
"03.01.2024 00:15 - 03.01.2024 00:30","1605","1564"
"03.01.2024 00:30 - 03.01.2024 00:45","1605","1537"
"03.01.2024 00:45 - 03.01.2024 01:00","1605","1519"
"03.01.2024 01:00 - 03.01.2024 01:15","1506","1498"
"03.01.2024 01:15 - 03.01.2024 01:30","1506","1482"
"03.01.2024 01:30 - 03.01.2024 01:45","1506","1470"
"03.01.2024 01:45 - 03.01.2024 02:00","1506","1456"
"03.01.2024 02:00 - 03.01.2024 02:15","1484","1454"
"03.01.2024 02:15 - 03.01.2024 02:30","1484","1443"
"03.01.2024 02:30 - 03.01.2024 02:45","1484","1438"
"03.01.2024 02:45 - 03.01.2024 03:00","1484","1444"
"03.01.2024 03:00 - 03.01.2024 03:15","1505","1451"
"03.01.2024 03:15 - 03.01.2024 03:30","1505","1452"
"03.01.2024 03:30 - 03.01.2024 03:45","1505","1467"
"03.01.2024 03:45 - 03.01.2024 04:00","1505","1481"
"03.01.2024 04:00 - 03.01.2024 04:15","1649","1512"
"03.01.2024 04:15 - 03.01.2024 04:30","1649","1540"
"03.01.2024 04:30 - 03.01.2024 04:45","1649","1588"
"03.01.2024 04:45 - 03.01.2024 05:00","1649","1643"
"03.01.2024 05:00 - 03.01.2024 05:15","1931","1753"
"03.01.2024 05:15 - 03.01.2024 05:30","1931","1818"
"03.01.2024 05:30 - 03.01.2024 05:45","1931","1874"
"03.01.2024 05:45 - 03.01.2024 06:00","1931","1937"
"03.01.2024 06:00 - 03.01.2024 06:15","2184","1997"
"03.01.2024 06:15 - 03.01.2024 06:30","2184","2032"
"03.01.2024 06:30 - 03.01.2024 06:45","2184","2051"
"03.01.2024 06:45 - 03.01.2024 07:00","2184","2086"
"03.01.2024 07:00 - 03.01.2024 07:15","2358","2130"
"03.01.2024 07:15 - 03.01.2024 07:30","2358","2172"
"03.01.2024 07:30 - 03.01.2024 07:45","2358","2193"
"03.01.2024 07:45 - 03.01.2024 08:00","2358","2212"
"03.01.2024 08:00 - 03.01.2024 08:15","2444","2236"
"03.01.2024 08:15 - 03.01.2024 08:30","2444","2240"
"03.01.2024 08:30 - 03.01.2024 08:45","2444","2239"
