"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"01.01.2024 00:00 - 01.01.2024 00:15","11659","12329"
"01.01.2024 00:15 - 01.01.2024 00:30","11600","12329"
"01.01.2024 00:30 - 01.01.2024 00:45","11557","12286"
"01.01.2024 00:45 - 01.01.2024 01:00","11508","12247"
"01.01.2024 01:00 - 01.01.2024 01:15","11451","12205"
"01.01.2024 01:15 - 01.01.2024 01:30","11414","12149"
"01.01.2024 01:30 - 01.01.2024 01:45","11392","12180"
"01.01.2024 01:45 - 01.01.2024 02:00","11381","12140"
"01.01.2024 02:00 - 01.01.2024 02:15","11388","12194"
"01.01.2024 02:15 - 01.01.2024 02:30","11392","12177"
"01.01.2024 02:30 - 01.01.2024 02:45","11398","12189"
"01.01.2024 02:45 - 01.01.2024 03:00","11408","12180"
"01.01.2024 03:00 - 01.01.2024 03:15","11418","12205"
"01.01.2024 03:15 - 01.01.2024 03:30","11441","12201"
"01.01.2024 03:30 - 01.01.2024 03:45","11441","12212"
"01.01.2024 03:45 - 01.01.2024 04:00","11493","12301"
"01.01.2024 04:00 - 01.01.2024 04:15","11582","12348"
"01.01.2024 04:15 - 01.01.2024 04:30","11632","12458"
"01.01.2024 04:30 - 01.01.2024 04:45","11663","12428"
"01.01.2024 04:45 - 01.01.2024 05:00","11673","12415"
"01.01.2024 05:00 - 01.01.2024 05:15","11643","12341"
"01.01.2024 05:15 - 01.01.2024 05:30","11652","12372"
"01.01.2024 05:30 - 01.01.2024 05:45","11683","12463"
"01.01.2024 05:45 - 01.01.2024 06:00","11732","12425"
"01.01.2024 06:00 - 01.01.2024 06:15","11819","12502"
"01.01.2024 06:15 - 01.01.2024 06:30","11869","12536"
"01.01.2024 06:30 - 01.01.2024 06:45","11899","12650"
"01.01.2024 06:45 - 01.01.2024 07:00","11916","12643"
"01.01.2024 07:00 - 01.01.2024 07:15","11903","12611"
"01.01.2024 07:15 - 01.01.2024 07:30","11916","12664"
"01.01.2024 07:30 - 01.01.2024 07:45","11941","12694"
"01.01.2024 07:45 - 01.01.2024 08:00","11974","12709"
"01.01.2024 08:00 - 01.01.2024 08:15","12023","12719"
"01.01.2024 08:15 - 01.01.2024 08:30","12058","12726"
"01.01.2024 08:30 - 01.01.2024 08:45","12085","12864"
"01.01.2024 08:45 - 01.01.2024 09:00","12111","12946"
"01.01.2024 09:00 - 01.01.2024 09:15","12133","12957"
"01.01.2024 09:15 - 01.01.2024 09:30","12154","12971"
"01.01.2024 09:30 - 01.01.2024 09:45","12173","12998"
"01.01.2024 09:45 - 01.01.2024 10:00","12189","13102"
"01.01.2024 10:00 - 01.01.2024 10:15","12203","13117"
"01.01.2024 10:15 - 01.01.2024 10:30","12214","13144"
"01.01.2024 10:30 - 01.01.2024 10:45","12225","13180"
"01.01.2024 10:45 - 01.01.2024 11:00","12228","13107"
"01.01.2024 11:00 - 01.01.2024 11:15","12218","13131"
"01.01.2024 11:15 - 01.01.2024 11:30","12223","13165"
"01.01.2024 11:30 - 01.01.2024 11:45","12237","13116"
"01.01.2024 11:45 - 01.01.2024 12:00","12250","13107"
"01.01.2024 12:00 - 01.01.2024 12:15","12260","13214"
"01.01.2024 12:15 - 01.01.2024 12:30","12286","13225"
"01.01.2024 12:30 - 01.01.2024 12:45","12324","13250"
"01.01.2024 12:45 - 01.01.2024 13:00","12372","13239"
"01.01.2024 13:00 - 01.01.2024 13:15","12432","13287"
"01.01.2024 13:15 - 01.01.2024 13:30","12495","13337"
"01.01.2024 13:30 - 01.01.2024 13:45","12557","13489"
"01.01.2024 13:45 - 01.01.2024 14:00","12643","13638"
"01.01.2024 14:00 - 01.01.2024 14:15","12769","13683"
"01.01.2024 14:15 - 01.01.2024 14:30","12845","13678"
"01.01.2024 14:30 - 01.01.2024 14:45","12892","13721"
"01.01.2024 14:45 - 01.01.2024 15:00","12917","13685"
"01.01.2024 15:00 - 01.01.2024 15:15","12903","13753"
"01.01.2024 15:15 - 01.01.2024 15:30","12910","13848"
"01.01.2024 15:30 - 01.01.2024 15:45","12886","13808"
"01.01.2024 15:45 - 01.01.2024 16:00","12899","13792"
"01.01.2024 16:00 - 01.01.2024 16:15","12914","13879"
"01.01.2024 16:15 - 01.01.2024 16:30","12923","13881"
"01.01.2024 16:30 - 01.01.2024 16:45","12926","13848"
"01.01.2024 16:45 - 01.01.2024 17:00","12928","13951"
"01.01.2024 17:00 - 01.01.2024 17:15","12932","13907"
"01.01.2024 17:15 - 01.01.2024 17:30","12925","13904"
"01.01.2024 17:30 - 01.01.2024 17:45","12910","13897"
"01.01.2024 17:45 - 01.01.2024 18:00","12890","13901"
"01.01.2024 18:00 - 01.01.2024 18:15","12862","13902"
"01.01.2024 18:15 - 01.01.2024 18:30","12830","13838"
"01.01.2024 18:30 - 01.01.2024 18:45","12802","13733"
"01.01.2024 18:45 - 01.01.2024 19:00","12743","13657"
"01.01.2024 19:00 - 01.01.2024 19:15","12631","13606"
"01.01.2024 19:15 - 01.01.2024 19:30","12594","13526"
"01.01.2024 19:30 - 01.01.2024 19:45","12594","13486"
"01.01.2024 19:45 - 01.01.2024 20:00","12652","13394"
"01.01.2024 20:00 - 01.01.2024 20:15","12815","13568"
"01.01.2024 20:15 - 01.01.2024 20:30","12873","13701"
"01.01.2024 20:30 - 01.01.2024 20:45","12872","13767"
"01.01.2024 20:45 - 01.01.2024 21:00","12846","13824"
"01.01.2024 21:00 - 01.01.2024 21:15","12771","13820"
"01.01.2024 21:15 - 01.01.2024 21:30","12710","13694"
"01.01.2024 21:30 - 01.01.2024 21:45","12658","13681"
"01.01.2024 21:45 - 01.01.2024 22:00","12569","13483"
"01.01.2024 22:00 - 01.01.2024 22:15","12424","13512"
"01.01.2024 22:15 - 01.01.2024 22:30","12346","13528"
"01.01.2024 22:30 - 01.01.2024 22:45","12312","13449"
"01.01.2024 22:45 - 01.01.2024 23:00","12291","13308"
"01.01.2024 23:00 - 01.01.2024 23:15","12500","13331"
"01.01.2024 23:15 - 01.01.2024 23:30","12495","13240"
"01.01.2024 23:30 - 01.01.2024 23:45","12484","13242"
"01.01.2024 23:45 - 02.01.2024 00:00","12466","13124"
"02.01.2024 00:00 - 02.01.2024 00:15","12440","13136"
"02.01.2024 00:15 - 02.01.2024 00:30","12413","13006"
"02.01.2024 00:30 - 02.01.2024 00:45","12387","12961"
"02.01.2024 00:45 - 02.01.2024 01:00","12346","12997"
"02.01.2024 01:00 - 02.01.2024 01:15","12278","13043"
"02.01.2024 01:15 - 02.01.2024 01:30","12245","13024"
"02.01.2024 01:30 - 02.01.2024 01:45","12236","12941"
"02.01.2024 01:45 - 02.01.2024 02:00","12239","13031"
"02.01.2024 02:00 - 02.01.2024 02:15","12258","13015"
"02.01.2024 02:15 - 02.01.2024 02:30","12282","13057"
"02.01.2024 02:30 - 02.01.2024 02:45","12314","13073"
"02.01.2024 02:45 - 02.01.2024 03:00","12349","13042"
"02.01.2024 03:00 - 02.01.2024 03:15","12381","13125"
"02.01.2024 03:15 - 02.01.2024 03:30","12442","13133"
"02.01.2024 03:30 - 02.01.2024 03:45","12532","13217"
"02.01.2024 03:45 - 02.01.2024 04:00","12644","13259"
"02.01.2024 04:00 - 02.01.2024 04:15","12813","13338"
"02.01.2024 04:15 - 02.01.2024 04:30","12933","13474"
"02.01.2024 04:30 - 02.01.2024 04:45","13027","13545"
"02.01.2024 04:45 - 02.01.2024 05:00","13111","13698"
"02.01.2024 05:00 - 02.01.2024 05:15","13174","13579"
"02.01.2024 05:15 - 02.01.2024 05:30","13248","13557"
"02.01.2024 05:30 - 02.01.2024 05:45","13324","13689"
"02.01.2024 05:45 - 02.01.2024 06:00","13410","13750"
"02.01.2024 06:00 - 02.01.2024 06:15","13522","13712"
"02.01.2024 06:15 - 02.01.2024 06:30","13588","13828"
"02.01.2024 06:30 - 02.01.2024 06:45","13625","13892"
"02.01.2024 06:45 - 02.01.2024 07:00","13635","13974"
"02.01.2024 07:00 - 02.01.2024 07:15","13601","14021"
"02.01.2024 07:15 - 02.01.2024 07:30","13589","13978"
"02.01.2024 07:30 - 02.01.2024 07:45","13587","13970"
"02.01.2024 07:45 - 02.01.2024 08:00","13575","13965"
"02.01.2024 08:00 - 02.01.2024 08:15","13555","14064"
"02.01.2024 08:15 - 02.01.2024 08:30","13541","14051"
"02.01.2024 08:30 - 02.01.2024 08:45","13531","14114"
"02.01.2024 08:45 - 02.01.2024 09:00","13519","14100"
"02.01.2024 09:00 - 02.01.2024 09:15","13502","14074"
"02.01.2024 09:15 - 02.01.2024 09:30","13495","14079"
"02.01.2024 09:30 - 02.01.2024 09:45","13493","14133"
"02.01.2024 09:45 - 02.01.2024 10:00","13501","14241"
"02.01.2024 10:00 - 02.01.2024 10:15","13524","14259"
"02.01.2024 10:15 - 02.01.2024 10:30","13532","14220"
"02.01.2024 10:30 - 02.01.2024 10:45","13531","14263"
"02.01.2024 10:45 - 02.01.2024 11:00","13526","14350"
"02.01.2024 11:00 - 02.01.2024 11:15","13511","14298"
"02.01.2024 11:15 - 02.01.2024 11:30","13502","14318"
"02.01.2024 11:30 - 02.01.2024 11:45","13497","14223"
"02.01.2024 11:45 - 02.01.2024 12:00","13486","14168"
"02.01.2024 12:00 - 02.01.2024 12:15","13463","14266"
"02.01.2024 12:15 - 02.01.2024 12:30","13460","14223"
"02.01.2024 12:30 - 02.01.2024 12:45","13469","14216"
"02.01.2024 12:45 - 02.01.2024 13:00","13489","14266"
"02.01.2024 13:00 - 02.01.2024 13:15","13525","14252"
"02.01.2024 13:15 - 02.01.2024 13:30","13554","14306"
"02.01.2024 13:30 - 02.01.2024 13:45","13580","14307"
"02.01.2024 13:45 - 02.01.2024 14:00","13614","14357"
"02.01.2024 14:00 - 02.01.2024 14:15","13659","14363"
"02.01.2024 14:15 - 02.01.2024 14:30","13690","14468"
"02.01.2024 14:30 - 02.01.2024 14:45","13712","14430"
"02.01.2024 14:45 - 02.01.2024 15:00","13731","14518"
"02.01.2024 15:00 - 02.01.2024 15:15","13743","14527"
"02.01.2024 15:15 - 02.01.2024 15:30","13754","14535"
"02.01.2024 15:30 - 02.01.2024 15:45","13770","14552"
"02.01.2024 15:45 - 02.01.2024 16:00","13771","14505"
"02.01.2024 16:00 - 02.01.2024 16:15","13767","14616"
"02.01.2024 16:15 - 02.01.2024 16:30","13762","14578"
"02.01.2024 16:30 - 02.01.2024 16:45","13755","14569"
"02.01.2024 16:45 - 02.01.2024 17:00","13749","14540"
"02.01.2024 17:00 - 02.01.2024 17:15","13747","14513"
"02.01.2024 17:15 - 02.01.2024 17:30","13732","14653"
"02.01.2024 17:30 - 02.01.2024 17:45","13707","14563"
"02.01.2024 17:45 - 02.01.2024 18:00","13678","14417"
"02.01.2024 18:00 - 02.01.2024 18:15","13643","14445"
"02.01.2024 18:15 - 02.01.2024 18:30","13600","14333"
"02.01.2024 18:30 - 02.01.2024 18:45","13556","14399"
"02.01.2024 18:45 - 02.01.2024 19:00","13483","14305"
"02.01.2024 19:00 - 02.01.2024 19:15","13356","14283"
