"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"01.01.2024 00:00 - 01.01.2024 00:15","21890","21648"
"01.01.2024 00:15 - 01.01.2024 00:30","21715","21508"
"01.01.2024 00:30 - 01.01.2024 00:45","21410","21312"
"01.01.2024 00:45 - 01.01.2024 01:00","21012","21044"
"01.01.2024 01:00 - 01.01.2024 01:15","20525","20748"
"01.01.2024 01:15 - 01.01.2024 01:30","20113","20416"
"01.01.2024 01:30 - 01.01.2024 01:45","19766","20144"
"01.01.2024 01:45 - 01.01.2024 02:00","19479","19836"
"01.01.2024 02:00 - 01.01.2024 02:15","19202","19520"
"01.01.2024 02:15 - 01.01.2024 02:30","18976","19192"
"01.01.2024 02:30 - 01.01.2024 02:45","18757","18900"
"01.01.2024 02:45 - 01.01.2024 03:00","18548","18684"
"01.01.2024 03:00 - 01.01.2024 03:15","18301","18500"
"01.01.2024 03:15 - 01.01.2024 03:30","18140","18336"
"01.01.2024 03:30 - 01.01.2024 03:45","18013","18172"
"01.01.2024 03:45 - 01.01.2024 04:00","17927","18036"
"01.01.2024 04:00 - 01.01.2024 04:15","17792","17908"
"01.01.2024 04:15 - 01.01.2024 04:30","17797","17948"
"01.01.2024 04:30 - 01.01.2024 04:45","17850","17888"
"01.01.2024 04:45 - 01.01.2024 05:00","17941","17852"
"01.01.2024 05:00 - 01.01.2024 05:15","18044","17824"
"01.01.2024 05:15 - 01.01.2024 05:30","18177","17988"
"01.01.2024 05:30 - 01.01.2024 05:45","18311","18048"
"01.01.2024 05:45 - 01.01.2024 06:00","18435","18108"
"01.01.2024 06:00 - 01.01.2024 06:15","18606","18176"
"01.01.2024 06:15 - 01.01.2024 06:30","18673","18344"
"01.01.2024 06:30 - 01.01.2024 06:45","18698","18420"
"01.01.2024 06:45 - 01.01.2024 07:00","18701","18512"
"01.01.2024 07:00 - 01.01.2024 07:15","18643","18552"
"01.01.2024 07:15 - 01.01.2024 07:30","18672","18548"
"01.01.2024 07:30 - 01.01.2024 07:45","18747","18464"
"01.01.2024 07:45 - 01.01.2024 08:00","18862","18344"
"01.01.2024 08:00 - 01.01.2024 08:15","18972","18312"
"01.01.2024 08:15 - 01.01.2024 08:30","19140","18504"
"01.01.2024 08:30 - 01.01.2024 08:45","19321","18712"
"01.01.2024 08:45 - 01.01.2024 09:00","19511","18856"
"01.01.2024 09:00 - 01.01.2024 09:15","19712","19028"
"01.01.2024 09:15 - 01.01.2024 09:30","19911","19220"
"01.01.2024 09:30 - 01.01.2024 09:45","20109","19572"
"01.01.2024 09:45 - 01.01.2024 10:00","20296","20372"
"01.01.2024 10:00 - 01.01.2024 10:15","20525","20640"
"01.01.2024 10:15 - 01.01.2024 10:30","20663","20820"
"01.01.2024 10:30 - 01.01.2024 10:45","20765","20992"
"01.01.2024 10:45 - 01.01.2024 11:00","20844","21128"
"01.01.2024 11:00 - 01.01.2024 11:15","20886","21136"
"01.01.2024 11:15 - 01.01.2024 11:30","20972","21168"
"01.01.2024 11:30 - 01.01.2024 11:45","21083","21188"
"01.01.2024 11:45 - 01.01.2024 12:00","21224","21200"
"01.01.2024 12:00 - 01.01.2024 12:15","21353","21160"
"01.01.2024 12:15 - 01.01.2024 12:30","21552","21216"
"01.01.2024 12:30 - 01.01.2024 12:45","21772","21352"
"01.01.2024 12:45 - 01.01.2024 13:00","21978","21404"
"01.01.2024 13:00 - 01.01.2024 13:15","22340","21580"
"01.01.2024 13:15 - 01.01.2024 13:30","22382","21736"
"01.01.2024 13:30 - 01.01.2024 13:45","22292","21576"
"01.01.2024 13:45 - 01.01.2024 14:00","22107","21304"
